ID,Type,Pic_Link,Longitude,Latitude,Text,Hashtags,Created_At
910646066432921600,Not_Specified,,-105.2804417,40.01758871,"I'm at Downtown Boulder in Boulder, CO https://t.co/6S9iFbUzDD",[],Wed Sep 20 23:25:15 +0000 2017
910645839911153664,Not_Specified,,-105.2759003,40.016893,"I'm at @USBank ATM in Boulder, CO https://t.co/m2H6CheQGk",[],Wed Sep 20 23:24:21 +0000 2017
910645800547618816,Not_Specified,,-105.27602925,40.01633526,"I'm at Wells Fargo Bank in Boulder, CO https://t.co/dPAOPR2WnF",[],Wed Sep 20 23:24:12 +0000 2017
910645757480456193,Not_Specified,,-105.27666092,40.01722933,"I'm at Boulder Transit Center - @ridertd in Boulder, CO https://t.co/oNI0skDMb3",[],Wed Sep 20 23:24:02 +0000 2017
910643788267315201,photo,https://pbs.twimg.com/media/DKNBsOlUQAASJ09.jpg,,,#fuckhate #quittheanger #vibewithus https://t.co/KnTfBsYTsJ,"['#fuckhate', '#quittheanger', '#vibewithus']",Wed Sep 20 23:16:12 +0000 2017
910643764129095686,Not_Specified,,-105.3333,40.00717,Back when I lived in New York it was a lot easier to miss the forest for the trees. It's not so… https://t.co/bo3M4akqUE,[],Wed Sep 20 23:16:06 +0000 2017
910643488709939200,Not_Specified,,-105.2705456,40.0149856,"See our latest #Boulder, CO #job and click to apply: Server, Cook, Runner, Dishwasher, Warehouse... - https://t.co/Krhz87DYir #Hospitality","['#Boulder', '#job', '#Hospitality']",Wed Sep 20 23:15:01 +0000 2017
910637800046854144,Not_Specified,,-105.27882,40.01943,"#Boulder Tomorrow 'Get the Gist' event to unpack the Nov 2017 ballot initiatives. Full house,… https://t.co/Fr4Zwt1qBK",['#Boulder'],Wed Sep 20 22:52:25 +0000 2017
910637611818958849,Not_Specified,,-105.2705456,40.0149856,"We're #hiring! Click to apply: Class A CDL Owner Operator Team, Drop &amp; Hook, Driver Job - https://t.co/dUN9m3IIkd #Transportation #Job","['#hiring', '#Transportation', '#Job']",Wed Sep 20 22:51:40 +0000 2017
910635590491631616,Not_Specified,,-105.2705456,40.0149856,"See our latest #Boulder, CO #job and click to apply: Human Resources Recruiter - https://t.co/VsTw8DcTj3 #KellyJobs #KellyServices","['#Boulder', '#job', '#KellyJobs', '#KellyServices']",Wed Sep 20 22:43:38 +0000 2017
910633356991148032,Not_Specified,,-105.2705456,40.0149856,"Want to work at Kelly Services? We're #hiring in #Boulder, CO! Click for details: https://t.co/cNK8RI8Nux #KellyJobs #KellyServices #Job","['#hiring', '#Boulder', '#KellyJobs', '#KellyServices', '#Job']",Wed Sep 20 22:34:45 +0000 2017
910632598761725952,Not_Specified,,-105.28,40.02,"temperature up 68°F -&gt; 76°F
humidity down 32% -&gt; 21%
wind 5mph -&gt; 3mph",[],Wed Sep 20 22:31:44 +0000 2017
910631273194016769,Not_Specified,,-105.28063,40.0169799,Tonight @looneyandope and jarymanemusic opens up for @KnowMadFam at boulder_house @ Boulder House https://t.co/Ac1Ths92za,[],Wed Sep 20 22:26:28 +0000 2017
910620675844575233,Not_Specified,,-105.27799,40.01621,Ready to do some serious shopping at the Wednesday #Boulder #FarmersMarket. I'm gearing up for… https://t.co/hd5IHsGc5b,"['#Boulder', '#FarmersMarket']",Wed Sep 20 21:44:22 +0000 2017
910619838699016192,Not_Specified,,-105.2705456,40.0149856,This #job might be a great fit for you: Calibration Technician - https://t.co/rfuMUOwcMM #KellyJobs #KellyServices #Manufacturing #Hiring,"['#job', '#KellyJobs', '#KellyServices', '#Manufacturing', '#Hiring']",Wed Sep 20 21:41:02 +0000 2017
910601771763900416,Not_Specified,,-105.2705456,40.0149856,"If you're looking for work in #Boulder, CO, check out this #job: https://t.co/xHqzOihrhp #IT #Hiring","['#Boulder', '#job', '#IT', '#Hiring']",Wed Sep 20 20:29:15 +0000 2017
910596148112629765,Not_Specified,,-105.27657,40.0085,"25 years ago today, another chapter in Sink History began as the Heinritz brothers, Chris and… https://t.co/4CptsD48eO",[],Wed Sep 20 20:06:54 +0000 2017
910592994847334400,Not_Specified,,-105.2705456,40.0149856,"This #job might be a great fit for you: Product Design Engineer - https://t.co/IQ0a0h2ksE #IT #Boulder, CO #Hiring","['#job', '#IT', '#Boulder', '#Hiring']",Wed Sep 20 19:54:22 +0000 2017
910591932069376001,Not_Specified,,-105.28241,40.02479,The Makers' Market at Anthem Branding is one week away! Here's a sneak peak at some of the… https://t.co/XlqsPAEV4q,[],Wed Sep 20 19:50:09 +0000 2017
910587556105822208,Not_Specified,,-105.27941,40.0194,Phil Morton and I about to kick off our workshop #uxstrat - Selling experience Strategy @ Hotel… https://t.co/bUnQvtwKFY,['#uxstrat'],Wed Sep 20 19:32:45 +0000 2017
910583143408611328,Not_Specified,,-105.27655101,40.00801744,Last time I posted these I was not friends with these amazing… https://t.co/TSuxREZqno,[],Wed Sep 20 19:15:13 +0000 2017
910580565069398023,Not_Specified,,,,"It's been a little while, but my friends in Shook's Run asked me to play w/ them, so I'll see y'all next Wednesday… https://t.co/2cwJr297VG",[],Wed Sep 20 19:04:59 +0000 2017
910579303271645184,Not_Specified,,-105.2705456,40.0149856,"Want to work at Wells Fargo? We're #hiring in #Boulder, CO! Click for details: https://t.co/AHnnkK1oxf #Banking #Veterans #Job #Jobs","['#hiring', '#Boulder', '#Banking', '#Veterans', '#Job', '#Jobs']",Wed Sep 20 18:59:58 +0000 2017
910577706651152384,Not_Specified,,-105.28,40.02,"current weather in Boulder: clear sky, 68°F
32% humidity, wind 5mph, pressure 1013mb",[],Wed Sep 20 18:53:37 +0000 2017
910571247620124672,Not_Specified,,-105.2705456,40.0149856,"Can you recommend anyone for this #job? Class A CDL Team Owner Operator, OTR Truck Driver - https://t.co/TYmjSzS28v #Transportation","['#job', '#Transportation']",Wed Sep 20 18:27:57 +0000 2017
910570463692128256,Not_Specified,,-105.27549,40.02023,"This week on eTown - @langhorneslim joins us in stripped-down fashion along with English-born,… https://t.co/ujmm8njlUv",[],Wed Sep 20 18:24:50 +0000 2017
